Source,eType,Target,Time,Weight
229337,4,251230,-2702016000,0.5
283528,4,251230,-2702016000,0.5
259961,4,297669,-2497593600,0.333333
216584,4,297669,-2497593600,0.333333
283528,4,297669,-2497593600,0.333333
224128,4,235863,-2082700800,0.25
222672,4,235863,-2082700800,0.25
265471,4,235863,-2082700800,0.25
283528,4,235863,-2082700800,0.25
224404,4,279249,-1893484800,0.25
237036,4,279249,-1893484800,0.25
289540,4,279249,-1893484800,0.25
243961,4,279249,-1893484800,0.25
303551,4,220888,-1861948800,0.333333
270808,4,220888,-1861948800,0.333333
270808,4,276944,-1861948800,0.333333
247372,4,276944,-1861948800,0.333333
257046,4,220888,-1861948800,0.333333
257046,4,276944,-1861948800,0.333333
239559,4,227839,-1846396800,0.5
292925,4,227839,-1846396800,0.5
219389,4,227785,-1830326400,0.333333
270583,4,227785,-1830326400,0.333333
294877,4,275540,-1830326400,0.333333
246780,4,305802,-1830326400,0.0526316
246780,4,275540,-1830326400,0.333333
282403,4,275540,-1830326400,0.333333
282403,4,305802,-1830326400,0.0526316
245314,4,305802,-1830326400,0.0526316
229804,4,305802,-1830326400,0.0526316
207145,4,305802,-1830326400,0.0526316
272730,4,227785,-1830326400,0.333333
284886,4,305802,-1830326400,0.0526316
219754,4,305802,-1830326400,0.0526316
233189,4,305802,-1830326400,0.0526316
290861,4,305802,-1830326400,0.0526316
243394,4,305802,-1830326400,0.0526316
257943,4,305802,-1830326400,0.0526316
260165,4,305802,-1830326400,0.0526316
220574,4,305802,-1830326400,0.0526316
221887,4,305802,-1830326400,0.0526316
224034,4,305802,-1830326400,0.0526316
268958,4,305802,-1830326400,0.0526316
256216,4,305802,-1830326400,0.0526316
299509,4,305802,-1830326400,0.0526316
258898,4,305802,-1830326400,0.0526316
216784,4,238605,-1798790400,0.25
235429,4,238605,-1798790400,0.25
219389,4,238605,-1798790400,0.25
206556,4,244222,-1798790400,0.333333
266897,4,267654,-1798790400,0.111111
288217,4,267654,-1798790400,0.111111
261915,4,267654,-1798790400,0.111111
272730,4,238605,-1798790400,0.25
257031,4,244222,-1798790400,0.333333
241172,4,244222,-1798790400,0.333333
234812,4,267654,-1798790400,0.111111
234812,4,268488,-1798790400,0.25
211875,4,267654,-1798790400,0.111111
261018,4,267654,-1798790400,0.111111
291846,4,268488,-1798790400,0.25
256893,4,267654,-1798790400,0.111111
228788,4,268488,-1798790400,0.25
291488,4,268488,-1798790400,0.25
291488,4,267654,-1798790400,0.111111
237962,4,267654,-1798790400,0.111111
304084,4,239969,-1767254400,0.166667
263608,4,239969,-1767254400,0.166667
240423,4,301886,-1767254400,0.2
277586,4,301886,-1767254400,0.2
270808,4,301886,-1767254400,0.2
206556,4,239969,-1767254400,0.166667
226925,4,239969,-1767254400,0.166667
220593,4,214541,-1767254400,0.2
272214,4,239969,-1767254400,0.166667
257031,4,239969,-1767254400,0.166667
230395,4,214541,-1767254400,0.2
252942,4,301886,-1767254400,0.2
297025,4,214541,-1767254400,0.2
301733,4,214541,-1767254400,0.2
257046,4,301886,-1767254400,0.2
299635,4,214541,-1767254400,0.2
299563,4,248191,-1765526400,0.25
235429,4,248191,-1765526400,0.25
273834,4,248191,-1765526400,0.25
272730,4,248191,-1765526400,0.25
299150,4,287450,-1759737600,0.333333
289882,4,287450,-1759737600,0.333333
304249,4,287450,-1759737600,0.333333
214079,4,220572,-1759478400,0.166667
280816,4,220572,-1759478400,0.166667
267117,4,220572,-1759478400,0.166667
271032,4,220572,-1759478400,0.166667
301894,4,220572,-1759478400,0.166667
243611,4,220572,-1759478400,0.166667
237864,4,250329,-1757318400,0.333333
237864,4,246735,-1757318400,0.333333
237864,4,273703,-1757318400,0.333333
237864,4,273952,-1757318400,0.333333
275402,4,250329,-1757318400,0.333333
275402,4,273952,-1757318400,0.333333
275402,4,273703,-1757318400,0.333333
275402,4,246735,-1757318400,0.333333
249311,4,246735,-1757318400,0.333333
249311,4,250329,-1757318400,0.333333
249311,4,273703,-1757318400,0.333333
249311,4,273952,-1757318400,0.333333
229252,4,228239,-1754726400,0.030303
221396,4,228239,-1754726400,0.030303
290009,4,228239,-1754726400,0.030303
303416,4,228239,-1754726400,0.030303
259654,4,228239,-1754726400,0.030303
261376,4,228239,-1754726400,0.030303
267117,4,228239,-1754726400,0.030303
281863,4,228239,-1754726400,0.030303
246593,4,228239,-1754726400,0.030303
272059,4,228239,-1754726400,0.030303
269231,4,228239,-1754726400,0.030303
246994,4,228239,-1754726400,0.030303
233760,4,228239,-1754726400,0.030303
284565,4,228239,-1754726400,0.030303
260369,4,228239,-1754726400,0.030303
279836,4,228239,-1754726400,0.030303
246732,4,228239,-1754726400,0.030303
208639,4,228239,-1754726400,0.030303
270032,4,228239,-1754726400,0.030303
265853,4,228239,-1754726400,0.030303
243611,4,228239,-1754726400,0.030303
284010,4,228239,-1754726400,0.030303
249509,4,228239,-1754726400,0.030303
221521,4,228239,-1754726400,0.030303
219479,4,228239,-1754726400,0.030303
229695,4,228239,-1754726400,0.030303
276188,4,228239,-1754726400,0.030303
273393,4,228239,-1754726400,0.030303
251816,4,228239,-1754726400,0.030303
256042,4,228239,-1754726400,0.030303
226810,4,228239,-1754726400,0.030303
218861,4,228239,-1754726400,0.030303
268568,4,228239,-1754726400,0.030303
209613,4,282106,-1742976000,0.5
243394,4,282106,-1742976000,0.5
237864,4,232080,-1741507200,0.333333
275402,4,232080,-1741507200,0.333333
249311,4,232080,-1741507200,0.333333
214079,4,215263,-1735718400,0.166667
255335,4,273429,-1735718400,0.166667
280816,4,215263,-1735718400,0.166667
280816,4,257913,-1735718400,0.166667
267117,4,273429,-1735718400,0.166667
267117,4,257913,-1735718400,0.166667
267117,4,215263,-1735718400,0.166667
271032,4,257913,-1735718400,0.166667
271032,4,215263,-1735718400,0.166667
271032,4,273429,-1735718400,0.166667
238299,4,253684,-1735718400,0.2
233295,4,253684,-1735718400,0.2
216784,4,253684,-1735718400,0.2
270808,4,233464,-1735718400,0.333333
273397,4,252511,-1735718400,0.333333
301894,4,257913,-1735718400,0.166667
301894,4,215263,-1735718400,0.166667
301894,4,273429,-1735718400,0.166667
262376,4,244426,-1735718400,0.166667
216870,4,244426,-1735718400,0.166667
247372,4,233464,-1735718400,0.333333
272730,4,253684,-1735718400,0.2
290316,4,268987,-1735718400,0.333333
297025,4,252511,-1735718400,0.333333
258516,4,268987,-1735718400,0.333333
241179,4,268987,-1735718400,0.333333
243611,4,215263,-1735718400,0.166667
243611,4,257913,-1735718400,0.166667
243611,4,273429,-1735718400,0.166667
275554,4,244426,-1735718400,0.166667
282361,4,244426,-1735718400,0.166667
221086,4,244426,-1735718400,0.166667
257046,4,233464,-1735718400,0.333333
250295,4,244426,-1735718400,0.166667
263295,4,253684,-1735718400,0.2
282286,4,273429,-1735718400,0.166667
282286,4,257913,-1735718400,0.166667
231257,4,252511,-1735718400,0.333333
220464,4,292209,-1727856000,0.5
297840,4,292209,-1727856000,0.5
209613,4,214171,-1727683200,0.5
243394,4,214171,-1727683200,0.5
220464,4,252285,-1716192000,0.333333
297840,4,252285,-1716192000,0.333333
223867,4,252285,-1716192000,0.333333
223237,4,263957,-1712476800,0.333333
295609,4,252832,-1712476800,0.333333
295609,4,235954,-1712476800,0.333333
295609,4,290050,-1712476800,0.333333
294311,4,290050,-1712476800,0.333333
294311,4,252832,-1712476800,0.333333
294311,4,235954,-1712476800,0.333333
294311,4,263957,-1712476800,0.333333
231755,4,252832,-1712476800,0.333333
231755,4,235954,-1712476800,0.333333
231755,4,290050,-1712476800,0.333333
231755,4,263957,-1712476800,0.333333
209613,4,207283,-1710230400,0.5
243394,4,207283,-1710230400,0.5
216658,4,286131,-1704096000,0.2
