Source,eType,Target,Time,Weight
314731,5,308739,31536000,4549.3
314731,5,386879,31536000,953.23
402198,5,314731,31536000,614.51
314731,5,372675,31536000,2884.24
384857,5,314731,31536000,35068.4
314731,5,377011,31536000,3586.26
314731,5,380751,31536000,106.55
314731,5,393680,31536000,876.67
314731,5,340727,31536000,2422.19
314731,5,344885,31536000,575.95
314731,5,394673,31536000,1713.18
314731,5,315673,31536000,3079.75
314731,5,326206,31536000,360.07
314731,5,366321,31536000,203.74
314731,5,370746,31536000,1024.98
314731,5,386567,31536000,2880.01
314731,5,330887,31536000,1282.14
314731,5,338753,31536000,1023.49
314731,5,338655,31536000,23.41
314731,5,355315,31536000,479.67
314731,5,343706,31536000,12.66
314731,5,363761,31536000,1812.31
314731,5,329091,31536000,4697.14
314731,5,340444,31536000,726.66
349766,5,308739,31536000,5753.58
349766,5,386879,31536000,882.79
402198,5,349766,31536000,1159.04
349766,5,372675,31536000,5943.88
384857,5,349766,31536000,51196.7
349766,5,377011,31536000,4629.67
349766,5,380751,31536000,383.8
349766,5,393680,31536000,700.53
349766,5,340727,31536000,740.52
349766,5,344885,31536000,641.58
349766,5,394673,31536000,4768.16
349766,5,315673,31536000,2294.22
349766,5,326206,31536000,46.96
349766,5,386567,31536000,1343.19
349766,5,318163,31536000,822.21
349766,5,330887,31536000,1681.2
349766,5,338753,31536000,3911.79
349766,5,355315,31536000,840.7
349766,5,343706,31536000,292.77
349766,5,363761,31536000,738.61
349766,5,329091,31536000,9152.25
342987,5,308739,31536000,6299.47
342987,5,386879,31536000,1412.45
384857,5,342987,31536000,32952.3
342987,5,377011,31536000,4057.38
342987,5,380751,31536000,187.31
342987,5,393680,31536000,600.77
342987,5,340727,31536000,1204.43
342987,5,344885,31536000,800.07
342987,5,394673,31536000,1887.48
342987,5,315673,31536000,2360.52
342987,5,326206,31536000,190.22
342987,5,386567,31536000,544.58
342987,5,318163,31536000,423.8
342987,5,330887,31536000,103.67
342987,5,338753,31536000,1416.25
342987,5,355315,31536000,226.55
342987,5,343706,31536000,454.98
342987,5,363761,31536000,1273.9
342987,5,329091,31536000,5660.32
342987,5,386899,31536000,8324.86
342987,5,340444,31536000,432.09
388654,5,324244,31536000,525.2
388654,5,308739,31536000,4221.44
388654,5,386879,31536000,1304.96
388654,5,372675,31536000,2102.52
384857,5,388654,31536000,9172.64
388654,5,377011,31536000,1192.07
388654,5,380751,31536000,400.9
388654,5,393680,31536000,477.33
388654,5,340727,31536000,1351.64
388654,5,344885,31536000,351.96
388654,5,315673,31536000,73.15
388654,5,326206,31536000,561.13
388654,5,370746,31536000,183
388654,5,386567,31536000,162.96
388654,5,318163,31536000,468.21
388654,5,330887,31536000,173.27
388654,5,338753,31536000,2449.41
388654,5,355315,31536000,1162.64
388654,5,343706,31536000,300.64
388654,5,363761,31536000,1676.06
388654,5,329091,31536000,652.59
388654,5,386899,31536000,4860.24
388654,5,340444,31536000,903.74
374185,5,308739,31536000,5328.94
402198,5,374185,31536000,396.34
384857,5,374185,31536000,38911.2
374185,5,377011,31536000,2424.6
374185,5,380751,31536000,535.37
374185,5,393680,31536000,130.26
374185,5,340727,31536000,2869.86
374185,5,344885,31536000,503.52
374185,5,315673,31536000,406
374185,5,326206,31536000,166.46
374185,5,366321,31536000,3171.08
374185,5,370746,31536000,1604.15
374185,5,386567,31536000,2386.26
374185,5,318163,31536000,2542.51
374185,5,330887,31536000,913.89
374185,5,338753,31536000,934.12
374185,5,343706,31536000,462.89
374185,5,363761,31536000,2505.69
374185,5,329091,31536000,10411.7
374185,5,386899,31536000,3546.45
374185,5,340444,31536000,2394.68
339577,5,308739,31536000,3205.39
384857,5,339577,31536000,12527.4
339577,5,377011,31536000,1494.73
339577,5,380751,31536000,238.43
339577,5,393680,31536000,248.26
339577,5,340727,31536000,36.91
339577,5,394673,31536000,315.42
339577,5,326206,31536000,593.23
339577,5,366321,31536000,2158.66
339577,5,370746,31536000,100.49
339577,5,386567,31536000,766.02
339577,5,318163,31536000,119.89
339577,5,330887,31536000,1035.2
339577,5,338753,31536000,2528.76
339577,5,343706,31536000,380.74
339577,5,363761,31536000,1566.8
339577,5,329091,31536000,1143.99
339577,5,386899,31536000,4185.24
339577,5,340444,31536000,34.21
387000,5,308739,31536000,5505.81
384857,5,387000,31536000,40424.3
387000,5,377011,31536000,6312.99
387000,5,380751,31536000,77.9
387000,5,393680,31536000,635.24
387000,5,340727,31536000,1359.39
387000,5,344885,31536000,686.34
387000,5,394673,31536000,1346.23
387000,5,326206,31536000,1065.67
387000,5,366321,31536000,2973.16
387000,5,330887,31536000,1829.81
387000,5,338753,31536000,207.26
387000,5,338655,31536000,36.32
387000,5,343706,31536000,636.82
387000,5,363761,31536000,126.21
387000,5,329091,31536000,5842.82
387000,5,386899,31536000,6340.75
307876,5,308739,31536000,2570.02
402198,5,307876,31536000,950.56
384857,5,307876,31536000,10338.6
307876,5,377011,31536000,1308.03
307876,5,380751,31536000,182.42
307876,5,393680,31536000,520.36
