Source,eType,Target,Time,Weight
42512,0,46456,86400,1
46456,0,47543,86400,1
47543,0,42512,86400,1
35957,0,17735,86400,1
76868,0,35957,86400,1
28161,0,39587,86400,1
39587,0,51558,86400,1
51558,0,28161,86400,1
20088,0,38632,86400,1
19897,0,62086,86400,1
62086,0,58476,86400,1
58476,0,19897,86400,1
31616,0,59630,86400,1
45061,0,9658,86400,1
9658,0,42466,86400,1
45061,0,22637,86400,1
36668,0,51460,86400,1
51460,0,92450,86400,1
42038,0,1397,86400,1
1397,0,12273,86400,1
12273,0,42038,86400,1
28944,0,55366,86400,1
19617,0,88744,86400,1
84290,0,19617,86400,1
83418,0,43736,86400,1
75767,0,24111,86400,1
24111,0,1914,86400,1
86946,0,25494,86400,1
25494,0,75197,86400,1
51206,0,80574,86400,1
59539,0,57973,86400,1
37897,0,59539,86400,1
49362,0,5577,86400,1
5577,0,93300,86400,1
93300,0,49362,86400,1
88343,0,57281,86400,1
9278,0,88343,86400,1
74162,0,7427,86400,1
24654,0,74162,86400,1
30726,0,42204,86400,1
43022,0,30726,86400,1
69720,0,32509,86400,1
32509,0,59579,86400,1
29324,0,31091,86400,1
31091,0,58671,86400,1
72976,0,35560,86400,1
65224,0,28230,86400,1
59466,0,76967,86400,1
76967,0,59769,86400,1
44995,0,44843,86400,1
37546,0,31706,86401,1
8173,0,37546,86401,1
42546,0,13855,86401,1
80301,0,13855,86401,1
51110,0,35159,86401,1
17533,0,46538,86401,1
46538,0,26438,86401,1
79474,0,81101,86401,1
81101,0,45053,86401,1
21624,0,14956,86401,1
14956,0,97063,86401,1
43937,0,22041,86401,1
86065,0,43937,86401,1
76959,0,17340,86401,1
17340,0,67185,86401,1
24721,0,80519,86401,1
66843,0,51584,86401,1
33717,0,61804,86401,1
61804,0,80023,86401,1
304,0,38171,86401,1
84013,0,70852,86401,1
43443,0,1502,86401,1
1502,0,79030,86401,1
50833,0,79220,86401,1
79220,0,91339,86401,1
58347,0,57235,86401,1
96655,0,370,86401,1
370,0,43017,86401,1
43017,0,96655,86401,1
